time,seconds_elapsed,z,y,x
1772567348584685600,0.087685546875,-11.841810258460043,-2.4759470464289186,-1.183893338784948
1772567348594714600,0.097714599609375,-10.624954926598072,-2.056678262785077,-0.4733210571531206
1772567348604742700,0.10774267578125,-8.809406556355952,-1.4873445898801088,-0.3818422123733908
1772567348614771700,0.117771728515625,-6.705424690604209,-0.9410971935302018,-0.2574999395202845
1772567348624800800,0.12780078125,-4.875737904894351,-0.5903212236151099,0.12702508219629524
1772567348634829800,0.137829833984375,-3.122128396692872,-0.6491895921692252,-0.02566884039416909
1772567348644857600,0.147857666015625,-1.3077525773614644,-0.7826511371538043,-0.029045988677069545
1772567348654886700,0.15788671875,0.352875864803791,-0.896329246520996,0.014053440598025917
1772567348664915500,0.16791552734375,1.6956851424992083,-0.7723471852824092,0.048735316270217294
1772567348674944500,0.177944580078125,2.690525032132864,-0.2861801636248827,0.3572906125061214
1772567348684973800,0.187973876953125,3.4501293479591606,0.046262569481134413,0.7064899807542562
1772567348695001600,0.198001708984375,4.011279129886627,0.2272910445436835,0.9573307546462864
1772567348705030700,0.20803076171875,4.30945017555654,0.44012394014596934,1.1978908114120363
1772567348715059700,0.218059814453125,4.480682356008887,0.5056280934527516,1.1891627305552364
1772567348725088500,0.228088623046875,4.516104967045783,0.4426972977653146,0.8996927316047251
1772567348735116800,0.23811669921875,4.445277280628681,0.4415492967739701,0.6972422599375248
1772567348745145600,0.2481455078125,4.340754245358705,0.5038187059432268,0.5697582915252074
1772567348755174700,0.258174560546875,4.172286853444576,0.5772308558955789,0.5611486859489232
1772567348765203700,0.26820361328125,4.139771069765091,0.5942366434931755,0.6129704969923943
1772567348775231500,0.2782314453125,4.376987588256597,0.6325479617089033,0.4977170645998791
1772567348785260800,0.2882607421875,4.605889282867312,0.7096145425155759,0.4055970723723992
1772567348795289900,0.298289794921875,5.04165327423811,0.7014645538076758,0.39814818113856015
1772567348805318700,0.308318603515625,5.602859754788875,0.712962099377811,0.36630076170731335
1772567348815347700,0.31834765625,5.942739359897375,0.9162006526827812,0.5120759178852662
1772567348825375500,0.32837548828125,6.217746387600898,1.068754728411138,0.5941332561839372
1772567348835404500,0.338404541015625,6.586672054451704,1.1763313060328364,0.4330814012233168
1772567348845433600,0.34843359375,6.8235267538934945,1.477043560618162,0.29940610389020295
1772567348855462700,0.358462646484375,6.51396337659359,1.8441037258580326,0.44808775863200423
1772567348865490700,0.36849072265625,5.888556518810987,1.8509832562386987,0.5327618918329478
1772567348875519700,0.378519775390625,5.376134235173463,1.6650073879018426,0.05754018869027495
