time,seconds_elapsed,z,y,x
1772566803343188000,0.07718798828125,0.12187281399965286,-0.06293167247027158,0.08121814752817154
1772566803353217000,0.087217041015625,0.18977789096832273,0.017326105593144892,0.041597500279545785
1772566803363246000,0.09724609375,0.17179916668534279,0.03555325167924166,0.025505320395529267
1772566803373275100,0.107275146484375,0.13912263948619366,0.0034156536623835563,0.010904548113048076
1772566803383304200,0.11730419921875,0.12707915047109125,0.024112258601933716,-0.004186053512990474
1772566803393333000,0.1273330078125,0.12697510557472705,0.054881929266452786,-0.0049365796193480485
1772566803403362000,0.137362060546875,0.17121230670809745,0.09311828254982829,0.01401990365460515
1772566803413395700,0.147395751953125,0.2213157695263624,0.15276011969447134,-0.0004769698619842529
1772566803423424500,0.157424560546875,0.23799217903912065,0.1653156498849392,-0.0004946516491472721
1772566803433453600,0.16745361328125,0.21867256154119968,0.13074556402415036,0.008564122466742992
1772566803443482600,0.177482666015625,0.18543781593739986,0.09582987959608436,0.027095658326894045
1772566803453511400,0.187511474609375,0.133077514103055,0.0743145056195557,0.043359395385533565
1772566803463540500,0.19754052734375,0.13563655093610286,0.060506345019489524,0.02683773804306984
1772566803473569500,0.207569580078125,0.09191723619699478,0.0744663351804018,0.031880408385396
1772566803483598600,0.2175986328125,0.017009586989879606,0.03644274786487221,0.03943491541817784
1772566803493627600,0.227627685546875,-0.02551613405048847,-0.002598492060601711,0.03221270907968282
1772566803503657500,0.237657470703125,-0.040137364599108695,-0.007123714400082826,0.017622896582633257
1772566803513686800,0.247686767578125,0.06672434275150299,-0.005136193844676017,0.0034068858340382574
1772566803523715600,0.257715576171875,0.08992869272828101,0.009759908122569322,0.021744506557285784
1772566803533744600,0.26774462890625,0.09211012842059135,-0.02192629286497831,0.04220438013151288
1772566803543773700,0.277773681640625,0.12686521545946597,-0.024043577279895544,0.051838469917327164
1772566803553802500,0.287802490234375,0.1426104816019535,-0.011769348248839377,0.056339434598386286
1772566803563831600,0.29783154296875,0.1774935789346695,-0.021718495333194733,0.0517867397300899
1772566803573860600,0.307860595703125,0.17043489259481429,-0.024299597867578265,0.04769070258811116
1772566803583890400,0.317890380859375,0.08183890977501869,-0.027332828083634374,0.04019508613571524
