time,seconds_elapsed,z,y,x
1772482596767492400,0.077492431640625,0.6999446153640747,-1.1392706632614136,-0.06880373507738113
1772482596777490200,0.087490234375,0.6777327656745911,-1.1536173820495605,-0.07495085150003433
1772482596787488300,0.09748828125,0.6596688628196716,-1.166877031326294,-0.0645681694149971
1772482596797486300,0.107486328125,0.6436941623687744,-1.1832938194274902,-0.05366306006908417
1772482596807485200,0.117485107421875,0.6399322152137756,-1.1744118928909302,-0.06354072690010071
1772482596817483300,0.127483154296875,0.6306270956993103,-1.2040162086486816,-0.0506662055850029
1772482596827481300,0.1374814453125,0.62590491771698,-1.2280337810516357,-0.04194968566298485
1772482596837479200,0.147479248046875,0.626269519329071,-1.271240472793579,-0.03768223524093628
1772482596847478300,0.157478271484375,0.6331095695495605,-1.2930623292922974,-0.04090229049324989
1772482596857476400,0.167476318359375,0.6351897716522217,-1.2973140478134155,-0.039701469242572784
1772482596867474400,0.177474365234375,0.633764386177063,-1.3013739585876465,-0.03675631433725357
1772482596877472300,0.18747216796875,0.6373268961906433,-1.2881691455841064,-0.06858455389738083
1772482596887470300,0.19747021484375,0.6498425602912903,-1.303275465965271,-0.10432744026184082
1772482596897469200,0.20746923828125,0.6666236519813538,-1.3467466831207275,-0.13446669280529022
1772482596907467000,0.217467041015625,0.6782612204551697,-1.3896042108535767,-0.15036973357200623
1772482596917465000,0.227465087890625,0.6951970458030701,-1.3844894170761108,-0.17107181251049042
1772482596927463200,0.237463134765625,0.720592200756073,-1.3855211734771729,-0.18723183870315552
1772482596937461200,0.247461181640625,0.7594472169876099,-1.3946397304534912,-0.20757199823856354
1772482596947460000,0.257460205078125,0.7922404408454895,-1.398679494857788,-0.2326253056526184
1772482596957458200,0.267458251953125,0.8172246217727661,-1.4221101999282837,-0.2459205985069275
1772482596967456000,0.2774560546875,0.8173365592956543,-1.4541699886322021,-0.23837284743785858
1772482596977454000,0.2874541015625,0.7913446426391602,-1.4658691883087158,-0.2420450747013092
1772482596987452200,0.2974521484375,0.753065288066864,-1.465887427330017,-0.2182714194059372
1772482596997451300,0.307451171875,0.7311501502990723,-1.4889914989471436,-0.19192743301391602
1772482597007449000,0.317448974609375,0.7229564785957336,-1.4623236656188965,-0.1593354344367981
1772482597017447200,0.327447265625,0.6652511358261108,-1.5415103435516357,-0.1952950358390808
1772482597027445200,0.3374453125,0.6371221542358398,-1.5611205101013184,-0.1687418520450592
1772482597037444000,0.347444091796875,0.5962135791778564,-1.520277976989746,-0.20117169618606567
1772482597047442200,0.357442138671875,0.5575023889541626,-1.5478417873382568,-0.24942100048065186
1772482597057440300,0.367440185546875,0.5333626866340637,-1.5355430841445923,-0.3074158728122711
1772482597067438000,0.37743798828125,0.5068031549453735,-1.5468536615371704,-0.3708898425102234
1772482597077436200,0.387436279296875,0.495705246925354,-1.5714788436889648,-0.43149247765541077
1772482597087435300,0.397435302734375,0.5090972185134888,-1.500666618347168,-0.42514699697494507
1772482597097433300,0.407433349609375,0.5094820261001587,-1.4286383390426636,-0.3489118814468384
1772482597107431200,0.41743115234375,0.5034868121147156,-1.3375704288482666,-0.23709045350551605
1772482597117429200,0.42742919921875,0.4954262375831604,-1.290908932685852,-0.14207366108894348
1772482597127427000,0.437427001953125,0.4808591902256012,-1.2751808166503906,-0.07519493997097015
1772482597137426200,0.44742626953125,0.4603659212589264,-1.225171685218811,-0.02764766663312912
1772482597147424300,0.45742431640625,0.4381438195705414,-1.2065292596817017,0.008425352163612843
1772482597157422300,0.46742236328125,0.4161551594734192,-1.2300329208374023,0.03233068436384201
1772482597167420200,0.477420166015625,0.4048492908477783,-1.267103672027588,0.05310419946908951
1772482597177418200,0.487418212890625,0.41016390919685364,-1.3128951787948608,0.08300058543682098
1772482597187417300,0.497417236328125,0.4298993647098541,-1.3689788579940796,0.10803703963756561
1772482597197415200,0.507415283203125,0.45116257667541504,-1.4259270429611206,0.13942746818065643
1772482597207413200,0.517413330078125,0.46650341153144836,-1.4682267904281616,0.1751643866300583
1772482597217411300,0.527411376953125,0.48684754967689514,-1.4997544288635254,0.20833300054073334
1772482597227409200,0.5374091796875,0.49522069096565247,-1.524436354637146,0.22109434008598328
1772482597237408300,0.547408203125,0.4990508556365967,-1.51789128780365,0.19742657244205475
1772482597247406300,0.55740625,0.500560462474823,-1.5067505836486816,0.1253148317337036
1772482597257404400,0.567404296875,0.4952530562877655,-1.4901604652404785,0.03791547566652298
1772482597267402200,0.57740234375,0.47486916184425354,-1.4255784749984741,-0.04470394179224968
1772482597277401000,0.587401123046875,0.4520735740661621,-1.3794149160385132,-0.08832945674657822
1772482597287399200,0.597399169921875,0.4328676164150238,-1.3265998363494873,-0.10394427180290222
