time,seconds_elapsed,z,y,x
1772482596767492400,0.077492431640625,-0.5890595331162214,-0.18152268832027912,-0.7074362486284226
1772482596777490200,0.087490234375,-0.6085936701476573,-0.16452829889953136,-0.6652509385235608
1772482596787488300,0.09748828125,-0.7123287699103354,-0.1628577353388071,-0.6484365818448364
1772482596797486300,0.107486328125,-0.826156516881287,-0.19692893176674842,-0.5630866682741791
1772482596807485200,0.117485107421875,-0.8628595231175422,-0.2489309216827154,-0.47224750963747497
1772482596817483300,0.127483154296875,-0.8006082341268658,-0.3225263192474842,-0.36221049671899525
1772482596827481300,0.1374814453125,-0.9089002665415405,-0.2830114704608917,-0.3478063064545393
1772482596837479200,0.147479248046875,-0.9444733919650316,-0.3029635406434536,-0.2928564995836466
1772482596847478300,0.157478271484375,-0.8553089616075158,-0.3937321913272142,-0.2703745821299031
1772482596857476400,0.167476318359375,-0.7463219326660037,-0.4619429732441902,-0.2526857441715896
1772482596867474400,0.177474365234375,-0.617227350719273,-0.5347352377325296,-0.22365210351943968
1772482596877472300,0.18747216796875,-0.5216717580199242,-0.6778191820651293,-0.2495017986395396
1772482596887470300,0.19747021484375,-0.39026539199948307,-0.7376818223536014,-0.241744626907818
1772482596897469200,0.20746923828125,-0.32300182780474423,-0.8601666307717561,-0.24879768722448498
1772482596907467000,0.217467041015625,-0.35009997034966944,-0.9613263270884752,-0.33686891551781445
1772482596917465000,0.227465087890625,-0.4510197204306721,-1.0505997707784176,-0.41130229827668513
1772482596927463200,0.237463134765625,-0.6007718904808164,-1.0948381409555672,-0.46911684692893174
1772482596937461200,0.247461181640625,-0.7134615733325481,-0.984866777151823,-0.5382025850495323
1772482596947460000,0.257460205078125,-0.8491139063596725,-0.8187930023759603,-0.6385893607649952
1772482596957458200,0.267458251953125,-0.9409563237547874,-0.7998615074127912,-0.8047854467462748
1772482596967456000,0.2774560546875,-1.1047919642150401,-0.759788440221548,-0.948980713321641
1772482596977454000,0.2874541015625,-1.3273217857062816,-0.6851607769995928,-1.1073251359544694
1772482596987452200,0.2974521484375,-1.4700652460381387,-0.6257686768323183,-1.2576786328986287
1772482596997451300,0.307451171875,-1.5987492013573645,-0.6246002175748347,-1.255027095476538
1772482597007449000,0.317448974609375,-1.6527373966544865,-0.5362035567194223,-1.248880409415066
1772482597017447200,0.327447265625,-1.5423983685821294,-0.45705169407129287,-1.1589394417271017
1772482597027445200,0.3374453125,-1.2717284933000803,-0.3784206404268741,-1.1310600126113741
1772482597037444000,0.347444091796875,-1.259725920817256,-0.3722007429987192,-1.0035115641281007
1772482597047442200,0.357442138671875,-1.1185136155754327,-0.3635439738124609,-0.9911465880736708
1772482597057440300,0.367440185546875,-0.8488800976037979,-0.37848143070340157,-0.9338640274062752
