time,seconds_elapsed,z,y,x
1772563752441146600,0.072146728515625,0.1823313981294632,-0.5032938718795776,-0.05824614688754082
1772563752451144700,0.082144775390625,0.16874873638153076,-0.5328850150108337,-0.15011748671531677
1772563752461142500,0.092142578125,0.15568946301937103,-0.5827439427375793,-0.23897528648376465
1772563752471140600,0.102140625,0.1432274729013443,-0.6393893957138062,-0.3613171875476837
1772563752481139700,0.1121396484375,0.12447363138198853,-0.6859076619148254,-0.4712035059928894
1772563752491137500,0.122137451171875,0.10348925739526749,-0.7174200415611267,-0.5498669147491455
1772563752501135600,0.132135498046875,0.06967009603977203,-0.7427698373794556,-0.6064842343330383
1772563752511133700,0.1421337890625,0.004817334469407797,-0.8118860125541687,-0.6095484495162964
1772563752521131500,0.152131591796875,-0.09494723379611969,-0.8581569194793701,-0.540798008441925
1772563752531129600,0.162129638671875,-0.2193852961063385,-0.8397936224937439,-0.4570262134075165
1772563752541127700,0.172127685546875,-0.3573523461818695,-0.7509027719497681,-0.39811861515045166
1772563752551126800,0.182126708984375,-0.46428439021110535,-0.6193487048149109,-0.3592868149280548
1772563752561124600,0.19212451171875,-0.4917287528514862,-0.4211348593235016,-0.3402062654495239
1772563752571122700,0.202122802734375,-0.47696682810783386,-0.27389082312583923,-0.3617384433746338
1772563752581120800,0.212120849609375,-0.44438230991363525,-0.16840258240699768,-0.43843114376068115
1772563752591118600,0.22211865234375,-0.421012282371521,-0.142226904630661,-0.5373913049697876
1772563752601116400,0.232116455078125,-0.3994801342487335,-0.09218155592679977,-0.6176146268844604
1772563752611114500,0.242114501953125,-0.4174969494342804,0.020559903234243393,-0.6631773114204407
1772563752621113600,0.252113525390625,-0.4996412992477417,0.1033773347735405,-0.6792768239974976
1772563752631111400,0.262111328125,-0.6045147180557251,0.12738972902297974,-0.6786872148513794
1772563752641109500,0.272109619140625,-0.702071487903595,0.10275984555482864,-0.6517624855041504
1772563752651107600,0.282107666015625,-0.788438081741333,0.06699811667203903,-0.5945186018943787
1772563752661105400,0.29210546875,-0.8580816388130188,0.05495324730873108,-0.49460938572883606
1772563752671103500,0.302103515625,-0.8904113173484802,0.0716123878955841,-0.3563114404678345
1772563752681101600,0.3121015625,-0.8934337496757507,0.09715745598077774,-0.2006329894065857
1772563752691100700,0.3221005859375,-0.8679137229919434,0.04461727663874626,-0.004399028606712818
1772563752701098500,0.332098388671875,-0.704071044921875,-0.13372953236103058,0.16724534332752228
1772563752711096600,0.3420966796875,-0.509202241897583,-0.3798580765724182,0.3191419541835785
1772563752721094400,0.352094482421875,-0.2992594242095947,-0.6179933547973633,0.4636220932006836
1772563752731092500,0.362092529296875,-0.05168716236948967,-0.8596757650375366,0.5902569890022278
1772563752741090600,0.372090576171875,0.24047209322452545,-1.0211700201034546,0.7131142020225525
1772563752751088400,0.38208837890625,0.44655337929725647,-1.1767446994781494,0.7897751927375793
1772563752761087500,0.39208740234375,0.6580153703689575,-1.3532828092575073,0.8141757845878601
1772563752771085600,0.40208544921875,0.8217459321022034,-1.5169404745101929,0.7597461342811584
1772563752781083600,0.412083740234375,0.9217485785484314,-1.580129861831665,0.6892455220222473
1772563752791081500,0.42208154296875,1.0007376670837402,-1.5534868240356445,0.6688726544380188
1772563752801079600,0.43207958984375,1.0863678455352783,-1.4874639511108398,0.6755960583686829
1772563752811077600,0.44207763671875,1.2133132219314575,-1.5417653322219849,0.6620834469795227
1772563752821075500,0.452075439453125,1.334276556968689,-1.6648197174072266,0.6388605237007141
1772563752831074600,0.462074462890625,1.4509809017181396,-1.8048782348632812,0.6062106490135193
1772563752841072600,0.47207275390625,1.5609418153762817,-1.9278382062911987,0.5120992660522461
1772563752851070500,0.482070556640625,1.6312655210494995,-1.7371907234191895,0.4722048044204712
1772563752861068500,0.492068603515625,1.5895005464553833,-1.4310451745986938,0.4393438696861267
1772563752871066600,0.502066650390625,1.2532761096954346,-1.3491817712783813,0.2741730213165283
1772563752881064400,0.512064453125,0.8864166736602783,-1.4478332996368408,0.05480337515473366
1772563752891062500,0.5220625,0.6588349342346191,-1.2754740715026855,-0.05830240994691849
1772563752901061600,0.5320615234375,0.31493499875068665,-1.6028674840927124,-0.41095709800720215
1772563752911059500,0.5420595703125,-0.060818132013082504,-1.9530625343322754,-0.5590754747390747
1772563752921057500,0.5520576171875,-0.36087700724601746,-2.173957347869873,-0.5650891661643982
1772563752931055600,0.5620556640625,-0.5452214479446411,-2.3253188133239746,-0.4329577088356018
1772563752941053400,0.572053466796875,-0.570624828338623,-2.4514312744140625,-0.2621613144874573
1772563752951051500,0.582051513671875,-0.5554424524307251,-2.5733461380004883,-0.15921200811862946
1772563752961049600,0.592049560546875,-0.5709348320960999,-2.65132474899292,-0.14272575080394745
1772563752971048700,0.602048583984375,-0.6682355403900146,-2.6061668395996094,-0.18010294437408447
1772563752981046500,0.612046630859375,-0.7548995614051819,-2.4292941093444824,-0.24403798580169678
1772563752991044600,0.622044677734375,-0.8292809724807739,-2.1730988025665283,-0.281674325466156
1772563753001042700,0.632042724609375,-0.8983065485954285,-1.829410195350647,-0.25804221630096436
1772563753011040500,0.64204052734375,-0.9762447476387024,-1.5149213075637817,-0.23393449187278748
1772563753021038600,0.65203857421875,-1.0327653884887695,-1.2075819969177246,-0.17246896028518677
1772563753031036400,0.662036376953125,-1.0308442115783691,-0.9017608165740967,-0.06610125303268433
1772563753041035500,0.672035400390625,-0.9766274094581604,-0.6267500519752502,0.08559758961200714
1772563753051033600,0.68203369140625,-0.9194546937942505,-0.39797523617744446,0.2794797122478485
1772563753061031700,0.69203173828125,-0.8938295245170593,-0.24789124727249146,0.49033066630363464
1772563753071029500,0.702029541015625,-0.8140436410903931,-0.27494633197784424,0.7238006591796875
1772563753081027600,0.712027587890625,-0.5857645273208618,-0.8467793464660645,0.8086963295936584
1772563753091025700,0.722025634765625,-0.2810245752334595,-1.9068524837493896,0.8524534106254578
1772563753101023500,0.7320234375,-0.009570758789777756,-2.5374231338500977,1.1147414445877075
1772563753111022600,0.742022705078125,0.11625668406486511,-2.3926632404327393,1.5059363842010498
1772563753121020700,0.752020751953125,0.1903446912765503,-2.2349066734313965,1.9020483493804932
1772563753131018500,0.7620185546875,0.3522361218929291,-2.1438534259796143,2.199032783508301
1772563753141016600,0.7720166015625,0.5303946137428284,-2.135591506958008,2.417900323867798
1772563753151014700,0.7820146484375,0.5930348634719849,-2.075118064880371,2.629101514816284
1772563753161012500,0.792012451171875,0.5597125887870789,-2.1208813190460205,2.793534517288208
1772563753171010600,0.802010498046875,0.6628962159156799,-2.3535056114196777,2.778324604034424
1772563753181009400,0.812009521484375,0.8681095242500305,-2.330580949783325,2.7160096168518066
