file,activity,t_start,t_end,mean_acc_x,var_acc_x,std_acc_x,mean_acc_y,var_acc_y,std_acc_y,mean_acc_z,var_acc_z,std_acc_z,mean_gyr_x,var_gyr_x,std_gyr_x,mean_gyr_y,var_gyr_y,std_gyr_y,mean_gyr_z,var_gyr_z,std_gyr_z,sma_acc,sma_gyr,corr_acc_xy,corr_acc_xz,corr_acc_yz,peak_acc,range_acc_x,range_acc_y,range_acc_z,range_gyr_x,range_gyr_y,range_gyr_z,zcr_acc,var_acc_mag,dom_freq_acc_x,spectral_energy_acc_x,spectral_energy_high_acc_x,dom_freq_acc_y,spectral_energy_acc_y,spectral_energy_high_acc_y,dom_freq_acc_z,spectral_energy_acc_z,spectral_energy_high_acc_z,activity_id
Jumping_3-2026-03-04_07-26-47,jumping,0.079177001953125,1.0608502403418525,-0.30073230496841813,-0.15306579004463142,0.05593291507329869,-1.2526216268936288,-0.08163370719826162,0.3433053559654362,-2.2475308568445835,1.695443469767292,1.918243094457592,0.43842798532454946,-0.0791236087173609,0.3639941220612794,0.21985888023769545,-0.131634276225928,0.23335633732979422,-0.5140825072401045,-0.14206066573084442,-0.0002647929378631233,0.9517948409495202,0.21103657409792437,-0.6595133174039609,-1.3894759934612695,1.5030037852136882,0.9476978974225133,0.12456690596722615,0.4505082858858138,2.12136411709254,0.3939461695653027,0.09089840596132488,0.03674865572357761,-1.2284764761326195,0.2790526387316589,-0.14305582306460815,-0.15323831902291468,-0.1381893657189655,-0.5914964609218492,-0.055050016430579614,-0.09884230116573495,-0.7219860229348952,1.89154225454944,2.1552506784576675,2
Jumping_3-2026-03-04_07-26-47,jumping,0.5800306950085983,1.5617039333973257,0.30145755763377846,-0.14707517475267096,0.10181517420820178,0.1384975180133827,-0.017825675548012666,0.5911477990089588,-1.9526945474061062,3.3947723553982514,2.784298016503722,-1.7385284557150296,-0.005126666792907296,0.5957394435669979,-0.3034943026391519,-0.11538653061593958,0.280704064297516,-0.24652808510225893,-0.13998825575388482,0.01601450379502684,1.6782191280523882,0.4250696268316219,-0.6484152523358435,-1.3657385882650115,1.575249676775808,1.204428980343714,0.12770252016253153,0.46182285962627645,2.54325737774776,0.491632510461678,0.1075367736949812,0.03674865572357761,-0.944716557582636,0.3455449031548031,-0.5184533504408058,-0.14675795922374762,-0.13329027261410367,-0.5914964609218492,0.03993002848325468,-0.0901608810572688,-0.7219860229348952,3.856800132141525,1.4482524199338376,2
Jumping_3-2026-03-04_07-26-47,jumping,1.0808843880640715,2.062557626452799,0.5946889976635847,-0.14005089539828788,0.1500669296845028,-0.12066024888055986,0.01704504049078888,0.7041953242148682,-0.19937348688550216,3.6678586743116357,2.903880431075431,-0.445421091556046,-0.0065309914314340455,0.5917933025980189,0.7075628513753733,-0.06567390714017801,0.41199238009048644,0.28658480774632106,-0.15117627336790446,-0.08051207382983017,1.8250820439718738,0.4307609584653952,-1.357752111680745,-2.017811396673507,1.5611779647285258,1.204428980343714,0.13451965576828367,0.47360831892625727,2.54325737774776,0.3897215703726333,0.23827003532679222,-0.139615792267882,-0.944716557582636,0.34993551704630693,-0.5184533504408058,-0.13685764005973208,-0.12759889835472252,-0.5914964609218492,0.09089693136696542,-0.06570511370378326,-0.7219860229348952,4.034150470684142,1.9291770770462429,2
Jumping_3-2026-03-04_07-26-47,jumping,1.5817380811195447,2.563411319508272,-0.492396771178008,-0.1149053245074789,0.2929018274792853,-0.9200588088050156,0.07389361083508797,0.8677619054792742,0.7249696094137331,3.8831461713994395,2.995393760600514,2.174935393038238,-0.06500635925471052,0.4126883149113616,-0.4991605851489416,-0.07209536643086722,0.396001156761042,0.16034014914011976,-0.14362011021623253,-0.012923295117596083,1.9662638749245298,0.3582195182378154,-1.4784206486165896,-2.4196996972938685,1.5866656294706383,1.5021838042464,0.21747112241039387,0.5956196001083002,2.768897222325163,0.3638610291181168,0.23827003532679222,0.0251153952221258,-0.944716557582636,0.47901354156635956,-0.5184533504408058,-0.10877981681655682,-0.10484530085619485,-0.5914964609218492,0.1811985275924318,-0.03177623362391808,-0.7219860229348952,4.1695179844615184,3.619630511790119,2
Jumping_3-2026-03-04_07-26-47,jumping,2.0825917741750177,3.0642650125637454,-0.11472010027231791,-0.11288894084409994,0.30296225745002064,0.5832705792550943,0.06647443815731305,0.8475914163725885,-0.07845287599627691,4.584990736197776,3.278980544020606,0.01931444835497185,-0.09525708431356877,0.3048100133350263,-0.0055334715661443995,-0.14789420255258268,0.18313594604689035,0.1352972665479822,-0.14138598956932394,0.00510028470031301,2.0899217837934496,0.21980690924167842,-1.375105890626027,-2.498868249309823,1.5439659049715921,1.5021838042464,0.2120895107612003,0.6370088546173321,2.8832170257864735,0.3925941621919521,0.04693075895656483,0.0251153952221258,-0.944716557582636,0.6268623823744307,-0.5184533504408058,-0.1018671760184969,-0.10436322362889694,-0.5914964609218492,0.17399033826176127,-0.06968954724195209,-0.7219860229348952,4.952586253285592,3.826426714203082,2
Jumping_3-2026-03-04_07-26-47,jumping,2.583445467230491,3.5651187056192186,-0.00016875935095191828,-0.12796437869436428,0.22333902443302653,1.4252745799443176,0.036737529537354326,0.7633672108214316,0.6220440323748673,4.2272667447036145,3.137088845960192,-1.0734618557587858,-0.07900606646251965,0.36441069309198304,0.534929357364109,0.053705076067835734,0.6733988451683677,-0.2803800565797447,-0.14506183714040655,-0.024969335252415105,2.0135279101861414,0.3604175757047071,-1.5641678720400192,-2.2642132107519943,1.5133893462438013,1.4273954277684502,0.16101642770370936,0.4300514922538917,2.8365837654738613,0.4294717257337069,0.603084090044969,-0.042259190435853064,-1.0865965168576277,0.4614084683106512,-0.5184533504408058,-0.12154883815043133,-0.1272245547322343,-0.5914964609218492,0.1350224148937833,-0.07746676578189365,-0.7219860229348952,4.609427852091346,2.8719300100339265,2
Jumping_3-2026-03-04_07-26-47,jumping,3.084299160285964,4.065972398674692,-0.45711233616489233,-0.14454656937002053,0.11978088490772626,0.36710620459360555,-0.0005204762557976552,0.648713012642354,0.7013525783012888,3.958001265662238,3.0266800627801116,0.25593550324705383,-0.02234181009584242,0.5463526725116635,-0.16674770765888897,0.13213637249049953,0.8192882349350868,-0.09602850919830208,-0.12167144201334465,0.14038246736170754,1.872625979039963,0.5408956386193239,-1.1991770174545968,-1.4172844428765834,1.373370922654362,1.1420598566842048,0.1329241680589829,0.3683153591806144,2.5384572645832297,0.5387274899020881,0.603084090044969,0.09574770302844622,-0.944716557582636,0.3478238007290533,-0.5184533504408058,-0.1484488642404852,-0.13848152184006252,-0.5914964609218492,0.07481307111730853,-0.02625858692051458,-0.7219860229348952,4.391221665188169,1.7464643143006606,2
Jumping_3-2026-03-04_07-26-47,jumping,3.5851528533414374,4.5668260917301655,-0.31413264869768914,-0.15116615718306942,0.07105025897575241,-0.7140431117816569,-0.037697137065026705,0.5208169870218208,0.7661862343795874,4.418197032186976,3.2134690310389744,0.8844731803639617,-0.036195971508791815,0.5048719668654337,-0.09818901922584973,-0.01718277432306976,0.5254781669726437,0.203428897452565,-0.12447649548153532,0.12311965218939461,1.8451974966433173,0.4403895027757059,-0.7065103024915883,-1.5443669310320598,1.291847087787052,1.3801983105281055,0.07786047133704029,0.4105485384719247,2.87863279674755,0.5234031117543678,0.3973741964886869,0.09574770302844622,-0.802836598307644,0.4633545629572009,-0.14305582306460815,-0.15280005101682928,-0.1353400743421858,-0.5914964609218492,-0.016508769163485155,-0.05056008343047216,-0.7219860229348952,4.919617191881826,2.263834362447972,2
Jumping_3-2026-03-04_07-26-47,jumping,4.086006546396911,5.067679784785638,0.14431605682538282,-0.1338175657164504,0.18914697419994234,0.02769325977968852,0.00020949977987549343,0.6510747154915254,0.9696975599162498,5.1698317842715955,3.5005394213444974,0.634242487897794,-0.028861252909362645,0.5270386117478821,-1.0470727586756192,-0.010819577234584198,0.5395364184961967,-0.1843866673994249,-0.14255931677913355,-0.004272530167403357,2.034320986259589,0.4489992632856521,-0.562794203081157,-2.1972080851327096,1.1951566545552872,1.485648713976555,0.21257195800354298,0.41787535503621936,2.9651365234736105,0.5188495267836136,0.3069569102304806,0.0031802149226930723,-0.802836598307644,0.7075004121727395,-0.14305582306460815,-0.12917462712283792,-0.11901418363149754,-0.5914964609218492,0.021025731227339275,-0.0550731648882652,-0.7219860229348952,5.6800496772202225,3.7534553669283555,2
Jumping_3-2026-03-04_07-26-47,jumping,4.586860239452385,5.568533477841112,0.16589092481428785,-0.12060419571228256,0.26354770668240096,1.139049558149659,0.06923981046977692,0.8551462507276436,1.36560003998588,4.582591419040365,3.2780458979607414,0.38650704947733505,-0.046900850071219594,0.4716264048093219,0.15948907447665106,-0.0164966337054185,0.5270024486621451,0.41692243054719097,-0.14282311555956861,-0.006407694635923188,2.1028283441067632,0.4055399217625259,-0.6357343707835648,-1.9614395809548824,1.203526388836415,1.485648713976555,0.2583445072299793,0.4930534773299728,2.973885949558098,0.5188495267836136,0.41204557811513953,-0.043802504176855904,-0.944716557582636,0.5217282378341545,-0.5184533504408058,-0.11101954439124756,-0.09828930210396818,-0.5914964609218492,0.1097387489373968,-0.027783941371103325,-0.7219860229348952,5.146820846539946,2.8971674253932385,2
Jumping_3-2026-03-04_07-26-47,jumping,5.0877139325078575,6.069387170896585,-0.2197654429891787,-0.13264292536203265,0.1961868230355431,0.41836837476883165,0.05144637413207886,0.8057371386149055,1.2439508525742036,3.7928292810211715,2.957284510010671,0.10936559064396967,-0.09964719621097709,0.2879502765122962,0.27808846636914997,-0.057445881183778864,0.43212266322248516,-0.16449060477576963,-0.12653994744030508,0.11007523671021237,1.9396346042816237,0.34119887748234634,-0.8181778603839436,-1.9681201209408299,1.2390457850066672,1.0385833601955192,0.22953988431605468,0.4930534773299728,2.4169900816949985,0.20046932822493232,0.318678238570319,0.21450343967595442,-0.944716557582636,0.3374885566028881,-0.14305582306460815,-0.1281738283801345,-0.11287643626497396,-0.5914964609218492,0.10749821325090463,-0.03871652659737895,-0.7219860229348952,4.337505165893781,1.2978078864525344,2
Jumping_3-2026-03-04_07-26-47,jumping,5.588567625563331,6.570240863952058,-0.03102108470192989,-0.13968818197476643,0.15242763338908163,0.06559500382563696,0.005201434505847398,0.667090610997963,-0.004971765151756743,4.591090493565856,3.2813556853883816,-0.02833448047504529,-0.06697250821593152,0.4060609151486691,-1.453032435522662,-0.04382827820401954,0.46460792584824107,-0.669146411231027,-0.1312085645126167,0.07935474808161663,1.9307427113815578,0.3718186232369049,-0.43367478342582744,-2.185165085799398,1.0544761990403257,1.6539835806636038,0.15844667869908688,0.4331693892552528,3.2112927548226615,0.4556604556334809,0.43756169167551123,0.21450343967595442,-0.944716557582636,0.5962035205608769,-0.14305582306460815,-0.13584566979388008,-0.1259452566141861,-0.5914964609218492,0.04639013417679619,-0.07499574388750326,-0.7219860229348952,4.986937129875182,2.7583583488384043,2
Jumping_3-2026-03-04_07-26-47,jumping,6.089421318618804,7.071094557007531,0.4450124748087388,-0.14062432227802166,0.14631096371986865,0.02221985215116502,-0.04393210775131843,0.49766710769106415,-0.5857756078962177,5.050206340562244,3.456192164146901,-0.4104282853919502,-0.058007416145550564,0.43590507419827557,0.23870925204567617,0.10061628110543117,0.762527757983632,0.0707996703636838,-0.15164614095865842,-0.0851395137332726,1.8951138044380733,0.3836795068412434,-0.6764249470753728,-2.1208985951059995,1.1666718687457365,1.7329992660401217,0.15844667869908688,0.3760404716726553,3.2429421239911176,0.41706870978355126,0.7804349812353656,-0.1198672137367601,-0.944716557582636,0.762632441387206,-0.14305582306460815,-0.1420922598908505,-0.1288383160301098,-0.5914964609218492,-0.007398303981789226,-0.10173259640973363,-0.7219860229348952,5.215846206247781,4.509369494763628,2
Jumping_3-2026-03-04_07-26-47,jumping,6.590275011674278,7.571948250063005,-0.5283508440024833,-0.13493777432286044,0.18234333381674955,-0.7029065488235127,-0.0728570280290744,0.38182173471174463,-0.7379292680663717,4.0175054114536755,3.05136197094426,-0.37133222522128295,-0.0896742575758086,0.3257618178387629,0.563651273614062,0.07853913969695704,0.7213277738680479,0.15352793066414674,-0.1393817740220214,0.020669839037762948,1.718929004101227,0.3654927170806126,-0.144244454449736,-1.680053146958584,1.334058630135634,1.7329992660401217,0.20988081360284336,0.24189015642781136,3.1819183491313887,0.4169920607300969,0.6220807989465291,-0.020067130160985023,-0.944716557582636,0.533692101640757,-0.14305582306460815,-0.14182945385410722,-0.11039579170226266,-0.5914964609218492,-0.04174203644529818,-0.11264149115573291,-0.7219860229348952,4.291295969884513,3.1959552298394636,2
Jumping_3-2026-03-04_07-26-47,jumping,7.09112870472975,8.072801943118478,0.20990822890426566,-0.1299448409459486,0.21201119361554252,-0.7312044946948297,0.008879413660676514,0.6787446473527889,-0.3278190125329764,2.8353287917555594,2.525317733249935,0.24065802275390757,-0.03449806861518208,0.5100459454997456,-0.48154851539034005,0.06083993966747931,0.6873506832594796,-0.010255367086372926,-0.13247922337741902,0.07067388508070367,1.6391559795190822,0.4773085543312683,0.6835514196336548,-0.7604620738716188,1.2044402686842663,0.9416724812284185,0.20988081360284336,0.4102929242468873,2.126553392472182,0.5121635101977668,0.5823245617306766,0.0405973683300933,-0.944716557582636,0.2353380284130808,0.2323417043115895,-0.13403532382829528,-0.09511647293448565,-0.5914964609218492,0.05054066038222108,-0.07517017195689119,-0.7219860229348952,3.2062938542894015,0.7998227842343292,2
